question,recall@1,recall@3,recall@5,recall@10,precision@1,precision@3,precision@5,precision@10,mrr,n_relevant,n_retrieved,first_hit_rank
Is Hirschsprung disease a mendelian or a multifactorial disorder?,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.0,1.0,0.8,0.4,1.0,9,10,1
List signaling molecules (ligands) that interact with the receptor EGFR?,0.0625,0.1875,0.3125,0.5625,1.0,1.0,1.0,0.9,1.0,16,10,1
Is the protein Papilin secreted?,0.1,0.3,0.5,0.7,1.0,1.0,1.0,0.7,1.0,10,10,1
Are long non coding RNAs spliced?,0.16666666666666666,0.5,0.5,0.5,1.0,1.0,0.6,0.3,1.0,6,10,1
Is RANKL secreted from the cells?,0.1,0.3,0.5,0.5,1.0,1.0,1.0,0.5,1.0,10,10,1
Does metformin interfere thyroxine absorption?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,
Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.6428571428571429,1.0,1.0,1.0,0.9,1.0,14,10,1
Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.5,1.0,6,10,1
Has Denosumab (Prolia) been approved by FDA?,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.47619047619047616,1.0,1.0,1.0,1.0,1.0,21,10,1
List the human genes encoding for the dishevelled proteins?,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,9,10,1
Name synonym of Acrokeratosis paraneoplastica.,0.06666666666666667,0.2,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,15,10,1
Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,0.2,0.6,0.6,0.6,1.0,1.0,0.6,0.3,1.0,5,10,1
Which are the different isoforms of the mammalian Notch receptor?,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.5,1.0,7,10,1
Which are the major characteristics of cellular senescence?,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.4,0.2,1.0,3,10,1
Orteronel was developed for treatment of which cancer?,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.0,1.0,0.8,0.4,1.0,9,10,1
Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,0.02857142857142857,0.08571428571428572,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,35,10,1
Which are the Yamanaka factors?,0.0625,0.1875,0.3125,0.625,1.0,1.0,1.0,1.0,1.0,16,10,1
What is the aim of the Human Chromosome-centric Proteome Project (C-HPP)?,0.06666666666666667,0.2,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,15,10,1
Where is the protein Pannexin1 located?,0.1,0.3,0.5,0.9,1.0,1.0,1.0,0.9,1.0,10,10,1
Which currently known mitochondrial diseases have been attributed to POLG mutations?,0.2,0.6,0.6,0.6,1.0,1.0,0.6,0.3,1.0,5,10,1
What is the effect of ivabradine in heart failure after myocardial infarction?,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,18,10,1
What is the mode of inheritance of Wilson's disease?,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.6428571428571429,1.0,1.0,1.0,0.9,1.0,14,10,1
Are transcription and splicing connected?,0.0625,0.1875,0.25,0.5625,1.0,1.0,0.8,0.9,1.0,16,10,1
What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.5454545454545454,1.0,1.0,1.0,0.6,1.0,11,10,1
Is Alu hypomethylation associated with breast cancer?,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.2,0.1,1.0,2,10,1
Which proteins participate in the formation of the ryanodine receptor quaternary macromolecular complex?,0.08333333333333333,0.25,0.4166666666666667,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,12,10,1
What kind of chromatography is HILIC?,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.5,1.0,6,10,1
What is the effect of TRH on myocardial contractility?,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.5,1.0,6,10,1
Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,0.6,0.3,1.0,7,10,1
What is the structural fold of bromodomain proteins?,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,9,10,1
List the endoscopic diagnoses that have been reported in children with autism,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,0.5,1.0,6,10,1
What are the outcomes of Renal sympathetic denervation?,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,9,10,1
Which MAP kinase phosphorylates the transcription factor c-jun?,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,18,10,1
"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?",0.16666666666666666,0.5,0.5,0.5,1.0,1.0,0.6,0.3,1.0,6,10,1
Do mutations of AKT1 occur in meningiomas?,0.16666666666666666,0.5,0.5,0.5,1.0,1.0,0.6,0.3,1.0,6,10,1
What are the main indications of lacosamide?,0.125,0.375,0.625,0.75,1.0,1.0,1.0,0.6,1.0,8,10,1
Which fusion protein is involved in the development of Ewing sarcoma?,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.5263157894736842,1.0,1.0,1.0,1.0,1.0,19,10,1
List Hemolytic Uremic Syndrome Triad.,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.47619047619047616,1.0,1.0,1.0,1.0,1.0,21,10,1
Does physical activity influence gut hormones?,0.0625,0.1875,0.3125,0.625,1.0,1.0,1.0,1.0,1.0,16,10,1
What are the effects of depleting protein  km23-1 (DYNLRB1)  in a cell?,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.5,1.0,7,10,1
Treatment of which disease was investigated in the MR CLEAN study?,0.25,0.75,0.75,0.75,1.0,1.0,0.6,0.3,1.0,4,10,1
Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1,10,1
Is irritable bowel syndrome more common in women with endometriosis?,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,18,10,1
What is evaluated using the EORTC QLQ – INFO25 questionnaire?,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.5,1.0,7,10,1
